,name,year,home,played against,week,team  score,opp score,month,team,5wkavyds,5wkavatt,5wkavrutd,5wkavnrec,5wkavrecyds,5wkavrectd,5wkavyds^2,5wkavatt^2,5wkavrutd^2,5wkavnrec^2,5wkavrecyds^2,5wkavrectd^2,Total points,Total points predicted
0,A.Bradshaw,2010,1,12,3,10,29,9,NYG,44.5,8.5,0.0,0.0,0.0,0.0,1980.25,72.25,0.0,0.0,0.0,0.0,15.8,7.87684
1,A.Bradshaw,2010,1,5,4,17,3,10,NYG,44.0,7.5,0.5,2.5,15.0,0.0,1936.0,56.25,0.25,6.25,225.0,0.0,18.3,8.92244
2,A.Bradshaw,2010,0,9,5,34,10,10,NYG,64.5,11.5,0.5,1.0,7.0,0.0,4160.25,132.25,0.25,1.0,49.0,0.0,8.9,12.85249
3,A.Bradshaw,2010,1,6,6,28,20,10,NYG,89.8,18.2,0.6,2.4,16.6,0.0,8064.04,331.24,0.36,5.76,275.56,0.0,14.3,15.16602
4,A.Bradshaw,2010,0,21,7,41,35,10,NYG,101.2,18.0,0.4,2.4,15.2,0.0,10241.44,324.0,0.16,5.76,231.04,0.0,11.8,17.31588
5,A.Bradshaw,2010,0,31,9,41,7,11,NYG,108.6,19.4,0.4,2.8,17.6,0.0,11793.96,376.36,0.16,7.84,309.76,0.0,21.2,18.41801
6,A.Bradshaw,2010,1,21,10,20,33,11,NYG,102.4,20.2,0.6,2.6,18.6,0.0,10485.76,408.04,0.36,6.76,345.96,0.0,11.5,9.83055
7,A.Bradshaw,2010,0,23,11,17,27,11,NYG,91.2,19.6,0.4,3.4,28.2,0.0,8317.44,384.16,0.16,11.56,795.24,0.0,0.4,11.76109
8,A.Bradshaw,2010,1,11,12,24,20,11,NYG,83.6,18.8,0.4,3.2,22.8,0.0,6988.96,353.44,0.16,10.24,519.84,0.0,8.3,16.97877
9,A.Bradshaw,2010,1,24,13,31,7,12,NYG,66.8,16.8,0.4,3.6,27.6,0.0,4462.24,282.24,0.16,12.96,761.76,0.0,22.5,12.93269
10,A.Bradshaw,2010,0,8,14,21,3,12,NYG,61.0,17.0,0.8,3.4,26.8,0.0,3721.0,289.0,0.64,11.56,718.24,0.0,17.5,11.08637
11,A.Bradshaw,2010,1,23,15,31,38,12,NYG,70.2,15.4,0.6,3.6,22.2,0.0,4928.04,237.16,0.36,12.96,492.84,0.0,8.0,12.94637
12,A.Bradshaw,2010,0,7,16,17,45,12,NYG,68.8,15.2,0.6,2.8,12.6,0.0,4733.44,231.04,0.36,7.84,158.76,0.0,5.2,9.02477
13,A.Bradshaw,2010,0,24,17,17,14,1,NYG,69.2,15.2,0.6,3.4,21.8,0.0,4788.64,231.04,0.36,11.56,475.24,0.0,3.0,10.11751
14,A.Bradshaw,2011,0,24,1,14,28,9,NYG,63.8,16.4,0.6,3.0,16.6,0.0,4070.44,268.96,0.36,9.0,275.56,0.0,11.4,8.40171
15,A.Bradshaw,2011,1,32,2,28,16,9,NYG,53.2,14.0,0.4,3.0,17.0,0.0,2830.24,196.0,0.16,9.0,289.0,0.0,10.4,12.20918
16,A.Bradshaw,2011,0,23,3,29,16,9,NYG,44.4,14.8,0.2,3.0,23.6,0.0,1971.36,219.04,0.04,9.0,556.96,0.0,19.9,11.95122
17,A.Bradshaw,2011,0,29,4,31,27,10,NYG,48.4,14.0,0.2,3.6,31.4,0.2,2342.56,196.0,0.04,12.96,985.96,0.04,9.0,12.35951
18,A.Bradshaw,2011,1,31,5,25,36,10,NYG,50.0,14.0,0.4,3.4,25.4,0.2,2500.0,196.0,0.16,11.56,645.16,0.04,8.5,12.77552
19,A.Bradshaw,2011,1,17,6,27,24,10,NYG,57.2,14.4,0.4,3.4,29.2,0.2,3271.84,207.36,0.16,11.56,852.64,0.04,31.0,11.83669
20,A.Bradshaw,2011,1,18,8,20,17,10,NYG,69.2,17.0,0.8,3.6,32.4,0.2,4788.64,289.0,0.64,12.96,1049.76,0.04,8.8,10.77063
21,A.Bradshaw,2011,1,7,13,35,38,12,NYG,67.4,16.6,0.8,3.6,31.0,0.2,4542.76,275.56,0.64,12.96,961.0,0.04,4.7,18.52523
22,A.Bradshaw,2011,0,21,14,37,34,12,NYG,57.8,15.8,0.8,3.0,22.2,0.0,3340.84,249.64,0.64,9.0,492.84,0.0,1.9,17.2591
23,A.Bradshaw,2011,1,24,15,10,23,12,NYG,52.4,15.0,0.6,2.4,21.4,0.0,2745.76,225.0,0.36,5.76,457.96,0.0,13.9,8.78563
24,A.Bradshaw,2011,0,20,16,29,14,12,NYG,52.4,13.6,0.8,2.6,20.2,0.0,2745.76,184.96,0.64,6.76,408.04,0.0,18.2,11.36051
25,A.Bradshaw,2011,1,21,17,31,14,1,NYG,42.4,11.4,0.6,2.4,16.6,0.0,1797.76,129.96,0.36,5.76,275.56,0.0,18.9,10.21352
26,A.Bradshaw,2012,1,21,1,17,24,9,NYG,43.8,12.0,0.8,2.0,11.4,0.2,1918.44,144.0,0.64,4.0,129.96,0.04,15.3,7.78079
