Days per month,Minuter per login,Lowest level completed,Customer added,Stories watched,Stories completed,Churn
15,47,4,41,362.3125,314.7751989,0
17,92,4,43,841.65,619.7359071,0
8,96,6,32,308.2,231.0504925,0
15,88,5,28,463,340.6500708,0
9,62,5,29,203.275,163.1470732,0
10,46,6,31,179.25,151.7210079,0
28,103,4,39,1406.95,1135.950528,0
17,92,5,27,528.85,423.0308745,0
15,47,5,44,388.75,344.4711431,0
11,40,6,45,248.5,194.9125622,0
17,9,6,45,87.0625,65.37463756,0
16,99,6,45,892,625.203338,0
13,89,5,42,608.425,527.2399983,0
13,77,4,30,376.375,308.2702663,0
9,96,5,40,433,364.5037148,0
13,67,6,41,447.3875,350.6391082,0
14,86,5,35,527.75,419.9939324,1
2,85,6,43,92.375,73.36668618,1
14,105,5,40,736,602.0493234,0
14,52,4,41,374.1,322.0702535,0
16,87,6,46,801.4,722.6450991,1
11,75,4,13,135.0625,112.4256594,0
8,85,7,40,341,258.9444826,0
3,86,5,45,146.125,100.7296878,1
26,36,5,43,504.1,383.6205499,0
14,50,7,20,176,130.0510728,1
10,84,4,43,452.5,373.6938686,0
26,84,7,45,1229.5,878.6575597,1
14,82,5,43,618.05,508.0540084,0
10,78,6,37,361.75,280.5439604,0
16,35,5,37,260,219.4148472,0
22,98,5,27,728.65,530.9370255,0
18,77,6,38,659.35,480.9221819,0
12,12,4,39,71.2,56.94771285,1
8,11,3,38,42.8,37.66166972,0
10,41,6,34,175.25,154.674778,0
22,82,5,43,970.65,870.8598445,0
12,44,5,34,225.4,172.1768505,0
22,71,6,43,840.575,756.1691008,1
30,80,4,45,1351,1112.754457,0
12,47,3,40,283,227.5741104,0
18,74,5,37,617.05,491.5029904,0
16,35,5,38,267,189.0729932,0
9,88,5,33,327.7,283.2758338,0
29,99,4,35,1257.0625,1005.710452,0
15,83,4,37,576.8125,520.7272506,0
13,41,6,36,240.85,198.2736157,0
18,74,7,46,766.9,551.2277178,0
17,99,3,46,968.725,722.8621898,0
31,45,5,39,681.0625,500.3364988,0
8,79,7,15,119.5,90.07751362,0
14,94,6,44,724.8,651.2621324,0
16,73,4,44,643.4,509.6437475,0
3,41,4,41,64.0375,45.67690873,0
19,77,5,29,531.3375,428.176859,0
24,41,3,41,505.3,394.6484731,0
15,85,5,0,1,0.790129146,0
15,7,5,42,56.125,44.89790913,0
17,37,5,45,354.8125,276.9275187,0
29,40,6,45,653.5,550.941474,0
16,78,5,45,703,537.6996911,1
14,81,5,44,624.7,496.2884288,0
19,69,4,40,656.5,498.9729547,0
21,67,4,42,739.675,645.8815255,0
24,70,5,36,757,558.5692666,1
15,88,5,46,760,626.4710722,1
21,35,4,29,267.4375,223.7217229,0
31,80,4,36,1117,988.2379438,0
11,38,6,45,236.125,188.119164,1
23,75,7,40,863.5,689.5184303,0
16,88,5,35,617,488.2922895,0
12,78,5,42,492.4,394.221918,0
17,78,5,42,697.15,642.3269194,0
15,78,7,25,366.625,305.4209364,0
8,88,5,36,317.8,230.0369256,1
13,44,5,42,301.3,254.428997,0
16,51,3,39,398.8,323.0823315,0
13,72,6,45,527.5,440.5879475,1
15,36,4,46,311.5,267.6273577,0
26,69,6,29,651.325,551.792214,1
9,45,6,40,203.5,158.7743904,1
10,91,5,30,342.25,255.1648379,0
11,47,5,41,265.9625,190.7103217,0
17,84,6,44,786.4,640.5687841,0
12,42,4,45,284.5,242.3058191,1
31,81,3,38,1193.725,991.8544931,0
13,106,6,45,776.125,667.2654413,1
17,89,4,36,681.85,501.8742296,0
4,74,7,44,163.8,143.0840008,1
8,71,4,46,327.6,268.7184966,0
13,83,6,29,392.1375,312.9362387,0
14,88,5,39,601.6,513.5578156,1
15,103,4,10,194.125,162.4864916,0
15,94,4,33,582.625,477.8814405,0
18,94,6,23,487.45,406.9247283,0
4,89,5,46,205.7,178.8269505,1
16,89,5,38,677.4,541.0340959,0
17,96,7,46,939.4,772.2436215,0
31,82,7,34,1081.35,1011.78997,0
19,96,4,41,935.8,681.723595,0
27,97,4,28,917.65,758.353828,0
16,90,4,38,685,540.8398501,0
22,85,3,46,1076.25,922.051922,0
10,50,5,35,219.75,193.2674728,0
7,103,6,41,370.5125,312.6960182,0
3,95,5,21,75.8125,61.5275814,0
16,80,5,16,257,206.9480701,0
11,13,5,40,72.5,59.0911036,1
13,77,6,41,514.0125,388.9559965,0
15,97,6,26,473.875,376.3137286,0
11,87,5,17,204.3625,178.2187711,0
13,36,5,26,153.1,121.7278804,0
